,S0,S0+fp16,S1,S1+OC,S2+OC,S2+OO+OC,S3+OC,S3+PO+OO+OC
gpu_memory_allocated,3.46,3.47,0.76,0.76,0.0,0.0,1.44,1.0
gpu_memory_reserved,35.82,33.83,11.87,11.87,0.0,0.0,15.59,15.67
