,S0,S0+fp16,S1,S1+OC,S2+OC,S2+OO+OC,S3+OC,S3+PO+OO+OC
epoch_time,01:11:14,00:42:37,01:42:24,01:45:05,01:46:43,02:12:14,01:01:56,01:31:00
dataloading_time,00:00:10,00:00:12,00:00:50,00:00:52,00:00:47,00:00:43,00:00:06,00:00:08
forward_time,00:07:47,00:05:32,00:06:42,00:06:47,00:06:43,00:06:46,00:17:29,00:17:31
backward_time,00:58:40,00:32:46,00:30:28,00:30:38,00:34:37,00:58:13,00:42:07,01:11:02
rest,00:04:34,00:04:05,01:04:22,01:06:46,01:04:35,01:06:31,00:02:12,00:02:18
