,S0,S0+fp16,S1,S1+OC,S2+OC,S2+OO+OC,S3+OC,S3+PO+OO+OC
gpu_memory_allocated,7.11,7.1,2.36,2.36,2.36,1.78,3.51,2.78
gpu_memory_reserved,37.71,24.98,18.99,18.99,20.3,19.77,21.99,21.32
